term;c1;c2;c3;c4;pwc1;pwc2;pwc3;pwc4;pc1;pc2;pc3;pc4
 presented ;0;0;4;2;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.0008670520231213873;21;3;24;9
 covariations ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 effective ;2;0;1;2;0.000635593220338983;0.00042176296921130323;0.0003440564252537416;0.0008670520231213873;21;3;24;9
 improvement ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 relatively ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 together ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 identify ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 marks ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 performed ;4;1;3;0;0.001059322033898305;0.0008435259384226065;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 structure ;6;0;1;0;0.0014830508474576272;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 expected ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 incorporated ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 expressions ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 touching ;0;0;4;0;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.00028901734104046245;21;3;24;9
 nearest ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 triangulation ;0;0;0;2;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0008670520231213873;21;3;24;9
 factors ;1;0;3;0;0.000423728813559322;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 templates ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 initial ;0;0;3;0;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 mail ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 distinct ;0;1;1;0;0.000211864406779661;0.0008435259384226065;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 critically ;1;0;0;1;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 drawn ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 faces ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 paper ;19;1;21;8;0.00423728813559322;0.0008435259384226065;0.0037846206777911577;0.002601156069364162;21;3;24;9
 interesting ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 modes ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 spatiotemporal ;0;1;3;0;0.000211864406779661;0.0008435259384226065;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 intensive ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
